firstname,lastname,email,attribute_2,attribute_3,major,semester,language[a1],language[a2],iOSDev,appStoreLink,iOSDevExplained,introAssessment[INTRO],introAssessmentTutor[INTRO],devices[iPad],devices[iPhone],devices[Watch],devices[Mac],devices[iPadAR],devices[iPhoneAR],expinterWEBFE[expinter][1],expinterWEBFE[expinter][2],justifyWEBFE,expinterSSDEV[expinter][1],expinterSSDEV[expinter][2],justifySSDEV,expinterUIUX[expinter][1],expinterUIUX[expinter][2],justifyUIUX,expinterEMBED[expinter][1],expinterEMBED[expinter][2],justifyEMBED,expinterVRAR[expinter][1],expinterVRAR[expinter][2],justifyVRAR,expinterMLALG[expinter][1],expinterMLALG[expinter][2],justifyMLALG,otherSkills,Priorities[1],Priorities[2],Priorities[3],Priorities[4],Priorities[5],Priorities[6],Priorities[7],Priorities[8],Priorities[9],Priorities[10],Comments,supervisorRating,CommentsTutor,IsPinned,teamName
Cristi,Gibbonson,cgibbonsona@sphinn.com,xx12xxx,female,BSc Informatics,5,C1/C2,Native,"I was involved in the development of a native Apple application, but I had another role than developer (e.g. tester).",,"I took part in the Ferienakademie 2018, a two-week course, where I programmed a single view app for iBeacon detection. This was mainly using Apple's CoreBluetooth and CoreLocation frameworks. 
The implementation supported the locating of an iBeacon and displayed its approximate location.",medium challenging,strongly above average,No,Yes,No,No,No,No,beginner skills,high interest,,no skills,high interest,,no skills,high interest,,no skills,extremely interested,,no skills,not interested at all,,no skills,not interested at all,,,CMU,SIEM,QUART,IHAUS,MRI,BR,BSH,CAPG,ZMED,ZIMT,,Expert,"Proactive, motivated. She was very proactive, only few iteration, fast, didn't hesitate to ask",FALSE,
Eva,Ghio,eghiob@prnewswire.com,xx12xxx,male,BSc Information Systems,5,Native,B1/B2,"I was involved in the development of a native Apple application, but I had another role than developer (e.g. tester).",,I took the course POM for one semester and implemented basic functionality ,medium challenging,above average,Yes,No,No,Yes,No,Yes,beginner skills,hardly interested,,average skills,high interest,,beginner skills,hardly interested,,advanced skills,average interest,I participated in the Google-Android practicum where we developed a remotely controlled roboter arm. Therefore we use an arduino,no skills,average interest,,no skills,extremely interested,,I would like to model systems/processes before or after the development.,IHAUS,ZMED,MRI,CMU,QUART,BR,SIEM,ZIMT,CAPG,BSH,,Advanced,"took some time to get/use the concepts, but afterwards his code was quite good",FALSE,
Vito,Letessier,vletessierc@prweb.com,xx12xxx,female,BSc Information Systems,5,C1/C2,C1/C2,I have no experience in Apple platform development other than the intro course.,,,hardly challenging,above average,No,No,No,No,No,No,no skills,average interest,,no skills,hardly interested,,average skills,high interest,,no skills,average interest,,no skills,extremely interested,,no skills,high interest,,,CMU,SIEM,MRI,IHAUS,ZMED,ZIMT,QUART,CAPG,BSH,BR,,Advanced,Started out as an average student but became every exercise a lot better,FALSE,
Roslyn,Hazeldene,rhazeldened@businessinsider.com,xx12xxx,female,BSc Information Systems,5,C1/C2,B1/B2,I have no experience in Apple platform development other than the intro course.,,,very challenging,above average,No,No,No,Yes,Yes,No,no skills,hardly interested,,no skills,extremely interested,,no skills,extremely interested,,no skills,hardly interested,,no skills,average interest,,no skills,high interest,,,SIEM,ZMED,QUART,IHAUS,BSH,ZIMT,CAPG,CMU,BR,MRI,,Advanced,- really quickly adopted the concepts,FALSE,
Gunilla,Plant,gplante@shop-pro.jp,xx12xxx,male,"MSc Informatics, Biomedical Computing, Data Engineering",1,Native,C1/C2,I have no experience in Apple platform development other than the intro course.,,,hardly challenging,strongly above average,No,No,No,No,No,No,average skills,high interest,,average skills,high interest,,beginner skills,average interest,,no skills,hardly interested,,no skills,extremely interested,,average skills,high interest,,,BR,BSH,IHAUS,ZMED,CMU,QUART,CAPG,SIEM,ZIMT,MRI,,Advanced,"always very fast, seemed very motivated",FALSE,
Marijo,Follan,mfollanf@com.com,xx12xxx,male,"MSc Informatics, Biomedical Computing, Data Engineering",2,Native,C1/C2,I have no experience in Apple platform development other than the intro course.,,,medium challenging,above average,No,No,No,No,No,No,no skills,average interest,,no skills,average interest,,no skills,average interest,,no skills,high interest,,beginner skills,high interest,,beginner skills,average interest,,I have some experience in object oriented programming (python) due to work at a project at the chair for operating systems.,BR,IHAUS,ZMED,CMU,ZIMT,QUART,SIEM,CAPG,BSH,MRI,,Advanced,Did the exercises great and fought for his solution which we're sometimes better than the example solution,FALSE,
Sheba,Starling,sstarlingg@miitbeian.gov.cn,xx12xxx,male,MSc Robotics,1,Native,C1/C2,I have no experience in Apple platform development other than the intro course.,,,medium challenging,above average,No,Yes,No,Yes,No,No,no skills,high interest,,beginner skills,average interest,,average skills,hardly interested,,advanced skills,extremely interested,"Arduino and Raspberry Pi for 6 months for my Bachelor's Thesis with autonomous cars, scripts in linux shell, Python, C++, many sensors (serial USB, ethernet UDP) Simulink integration for Raspberry Pi",beginner skills,high interest,,beginner skills,extremely interested,,"Electrical engineering skills, some games engineering (listener patterns, multi-threading), SQL",SIEM,IHAUS,CMU,ZIMT,CAPG,ZMED,MRI,QUART,BSH,BR,,Advanced,intermediate programming experience; understood all of the concepts really quickly; good motivation,FALSE,
Danica,Wailes,dwailesh@ehow.com,xx12xxx,male,MSc Information Systems,2,C1/C2,C1/C2,I have no experience in Apple platform development other than the intro course.,,,medium challenging,above average,No,No,No,No,No,No,no skills,hardly interested,,no skills,average interest,,beginner skills,average interest,,beginner skills,average interest,,average skills,high interest,,beginner skills,average interest,,Following the knowledge gained from the POM lecture I would love to put it into practice by providing organisational help to our team ,SIEM,IHAUS,CMU,BSH,ZIMT,MRI,QUART,ZMED,CAPG,BR,,Advanced,"Motivated and curious, was very active during intro sessions",FALSE,
Terese,Chawner,tchawneri@jiathis.com,xx12xxx,male,BSc Informatics,5,Native,C1/C2,I have no experience in Apple platform development other than the intro course.,,,medium challenging,above average,No,No,No,No,No,No,average skills,average interest,,no skills,hardly interested,,average skills,average interest,,no skills,average interest,,no skills,hardly interested,,no skills,extremely interested,,,BSH,ZMED,QUART,SIEM,CMU,IHAUS,CAPG,BR,ZIMT,MRI,,Advanced,Motivated and thoroughful; code required minimum increments; not afraid of discussion about PR comments,FALSE,
Petronilla,Minogue,pminoguej@sfgate.com,xx12xxx,female,BSc Informatics,5,C1/C2,C1/C2,I have no experience in Apple platform development other than the intro course.,,,hardly challenging,above average,No,No,No,No,No,Yes,average skills,hardly interested,,beginner skills,average interest,,no skills,not interested at all,,no skills,high interest,,no skills,high interest,,beginner skills,extremely interested,,,MRI,BSH,CAPG,SIEM,ZIMT,CMU,ZMED,IHAUS,QUART,BR,,Advanced,"interested in topics, asks questions, good discussion",FALSE,
Tasha,Omand,tomandk@seesaa.net,xx12xxx,male,"MSc Informatics, Biomedical Computing, Data Engineering",1,Native,C1/C2,I have no experience in Apple platform development other than the intro course.,,,medium challenging,above average,No,No,No,No,No,No,average skills,hardly interested,,average skills,average interest,,no skills,not interested at all,,average skills,extremely interested,,no skills,high interest,,average skills,high interest,,,CAPG,ZMED,BR,ZIMT,CMU,IHAUS,QUART,BSH,SIEM,MRI,,Advanced,"Motivated, was very eager to implement everyting asap :) (sometimes) sacrifing the undestanding the whole context",FALSE,
Cacilie,Ebbers,cebbersl@elegantthemes.com,xx12xxx,male,BSc Informatics,5,Native,C1/C2,I have no experience in Apple platform development other than the intro course.,,,medium challenging,above average,No,No,No,No,No,Yes,beginner skills,average interest,,no skills,high interest,,beginner skills,high interest,,average skills,high interest,,no skills,hardly interested,,no skills,high interest,,I work as a working student as a software tester.,QUART,ZMED,BR,IHAUS,MRI,CMU,CAPG,BSH,ZIMT,SIEM,,Advanced,"strong programming experience; understood the concepts really quickly, strong motivation; did a lot of coding with a fellow student from Robert's group",FALSE,
Cathe,Dymidowicz,cdymidowiczm@miibeian.gov.cn,xx12xxx,male,"MSc Informatics, Biomedical Computing, Data Engineering",3,Native,C1/C2,I have no experience in Apple platform development other than the intro course.,,,medium challenging,above average,No,No,No,No,No,No,no skills,hardly interested,,no skills,average interest,,beginner skills,hardly interested,,no skills,average interest,,no skills,hardly interested,,no skills,high interest,,Experienced with Docker,SIEM,CMU,IHAUS,CAPG,MRI,ZIMT,QUART,ZMED,BSH,BR,,Advanced,"Was a good and fast student, understood all the concepts and I had very little to critize",FALSE,
Hoebart,Humby,hhumbyn@freewebs.com,xx12xxx,male,"MSc Informatics, Biomedical Computing, Data Engineering",3,Native,C1/C2,I have no experience in Apple platform development other than the intro course.,,,hardly challenging,above average,No,No,No,Yes,No,No,beginner skills,hardly interested,,average skills,extremely interested,,no skills,not interested at all,,advanced skills,hardly interested,"TUM Hyperloop (tumhyperloop.de): Developed part of software for main board on our speed pod, as well as entire software running on our levpod. [C++, Arduinos, NXP Microcontrollers]",no skills,high interest,,beginner skills,average interest,,I'm relatively good at understanding structure and logic behind existing systems.,SIEM,BSH,IHAUS,ZMED,MRI,CMU,ZIMT,CAPG,QUART,BR,,Advanced,"previous programming experience, wrote quite nice code and was very thorough",FALSE,
Berty,Jesson,bjessono@4shared.com,xx12xxx,male,BSc Information Systems,4,Native,B1/B2,I have no experience in Apple platform development other than the intro course.,,,hardly challenging,above average,No,No,No,Yes,No,Yes,advanced skills,extremely interested,"Schrimper.de - a travel blog, developed for my travel in South America (2015), also implemented google maps
420ersegeln-bw.de - 2013 - developed free time during school
knowledge is not up to date
",beginner skills,high interest,,beginner skills,extremely interested,,no skills,average interest,,no skills,high interest,,no skills,average interest,,"I am good in organizing people. 
Got experience in my free time: Led my youth sailing club (50 person), actual leading a sailing team (4-8 person), and floor speaker in my student house (10 person) ",BR,IHAUS,QUART,SIEM,ZMED,CMU,ZIMT,CAPG,BSH,MRI,,Advanced,"highly motivated, eager to lern new things",FALSE,
Bethina,Sarge,bsargep@sciencedaily.com,xx12xxx,male,BSc Informatics,5,Native,B1/B2,I have been an active developer for a native Apple application.,,"I developed cross platform apps using Xamarin Forms (C#) for about 4 months in total.
But, I hadn't had any swift experience. 
Our apps could deal with SAP requests, like displaying, adding or editing instances. Moreover, we used database-frameworks (I think it was SQLite) to store  e.g. user data. We got in touch with Test Flight and released our apps in the App Store.",medium challenging,above average,No,No,No,No,No,Yes,no skills,high interest,,no skills,hardly interested,,no skills,extremely interested,,no skills,average interest,,no skills,extremely interested,,no skills,average interest,,,CAPG,IHAUS,BR,CMU,SIEM,ZMED,QUART,BSH,MRI,ZIMT,,Advanced,Finished the exercises really fast. He most of the time got a lot right on the first try,FALSE,
Toma,Riche,tricheq@w3.org,xx12xxx,male,BSc Information Systems,5,Native,C1/C2,I have no experience in Apple platform development other than the intro course.,,,medium challenging,above average,No,No,No,Yes,No,Yes,beginner skills,high interest,,no skills,high interest,,beginner skills,hardly interested,,no skills,extremely interested,,no skills,average interest,,no skills,extremely interested,,,CMU,IHAUS,SIEM,MRI,BR,ZIMT,ZMED,CAPG,BSH,QUART,,Advanced,"highly motivated, had the best solution for the addCity Task",FALSE,
Bree,Copelli,bcopellir@unicef.org,xx12xxx,female,BSc Information Systems,5,C1/C2,C1/C2,I have no experience in Apple platform development other than the intro course.,,,medium challenging,above average,No,No,No,Yes,No,Yes,no skills,average interest,,no skills,hardly interested,,no skills,high interest,,no skills,high interest,,no skills,high interest,,no skills,high interest,,,IHAUS,CAPG,QUART,ZIMT,SIEM,MRI,CMU,ZMED,BR,BSH,,Advanced,"Is very interested in swift and could adopt to the new concepts pretty fast. She said she sometimes does not know what she is doing, but she actually implemented it correctly. She is better than she personally thinks",FALSE,
Gonzales,Pirrone,gpirrones@prweb.com,xx12xxx,male,BSc Information Systems,5,Native,C1/C2,I have no experience in Apple platform development other than the intro course.,,,medium challenging,strongly above average,No,No,No,Yes,No,Yes,average skills,average interest,,beginner skills,hardly interested,,average skills,average interest,,no skills,high interest,,no skills,extremely interested,,no skills,average interest,,,MRI,ZMED,CAPG,IHAUS,BSH,SIEM,BR,ZIMT,CMU,QUART,,Advanced,"- quickly adopted the concepts. if i'd to rate, i would say he was the strongest student of my group",FALSE,
Gail,Tyght,gtyghtt@ucoz.com,xx12xxx,male,BSc Information Systems,5,Native,C1/C2,I have no experience in Apple platform development other than the intro course.,,,hardly challenging,above average,No,No,No,No,No,No,beginner skills,high interest,,beginner skills,hardly interested,,average skills,high interest,,no skills,average interest,,beginner skills,high interest,,average skills,extremely interested,,"Work experience, SCRUM experience, time management skills and teamplayer",CAPG,ZMED,IHAUS,BR,ZIMT,BSH,SIEM,QUART,MRI,CMU,,Advanced,expierience in other languages; often solves problems like in other languages,FALSE,
Dill,Portt,dporttu@google.ca,xx12xxx,male,BSc Informatics,5,Native,C1/C2,I have no experience in Apple platform development other than the intro course.,,,medium challenging,strongly above average,No,No,No,Yes,Yes,Yes,average skills,average interest,,average skills,average interest,,average skills,average interest,,beginner skills,high interest,,no skills,high interest,,no skills,high interest,,,ZMED,QUART,BR,IHAUS,MRI,SIEM,CAPG,ZIMT,CMU,BSH,,Advanced,"high aptitude for programming in general, very fast learner, no prior Swift but prior programming experience, produces nearly flawless PRs towards the end, very thorough, highly motivated",FALSE,
Hall,Philippson,hphilippsonv@nifty.com,xx12xxx,male,Masters in Informatics,3,C1/C2,A1/A2,I have submitted my own native Apple application(s) to the AppStore.,"https://itunes.apple.com/us/app/360-vuz-videos-vr-player-video-views-live-/id964118383?mt=8,https://itunes.apple.com/pk/app/cfxcomics/id1004607093?mt=8,https://itunes.apple.com/us/app/clhop/id890886645?mt=8","I have worled on AddressBook, MapKit, NotificationCenter, Core Data, PushKit, Core Location, UserNotifications, AssetsLibrary, AVFoundation, MediaLibrary etc.I have been involved i various projects with time ranging form 6 months to 1 year",medium challenging,above average,No,No,No,No,No,No,beginner skills,not interested at all,,no skills,not interested at all,,no skills,not interested at all,,no skills,hardly interested,,no skills,average interest,,beginner skills,hardly interested,,,CMU,IHAUS,SIEM,BR,ZMED,BSH,MRI,CAPG,ZIMT,QUART,,Advanced,very unmotivated but still did well in his homework even though he started very late,FALSE,
Mary,Arnault,marnaultw@liveinternet.ru,xx12xxx,male,BSc Informatics,7,Native,C1/C2,I have no experience in Apple platform development other than the intro course.,,,very challenging,average,No,No,No,No,No,No,beginner skills,high interest,,no skills,average interest,,beginner skills,hardly interested,,average skills,extremely interested,,beginner skills,high interest,,no skills,average interest,,,ZMED,MRI,IHAUS,CMU,CAPG,QUART,ZIMT,BSH,SIEM,BR,,Normal,Average student and understood the concepts,FALSE,
Brendan,Lambell,blambellx@ibm.com,xx12xxx,male,BSc Informatics,4,Native,Native,I have no experience in Apple platform development other than the intro course.,,,medium challenging,average,No,Yes,No,No,No,No,average skills,average interest,,beginner skills,high interest,,no skills,hardly interested,,no skills,high interest,,no skills,high interest,,average skills,high interest,,,CMU,ZIMT,IHAUS,QUART,ZMED,SIEM,MRI,CAPG,BR,BSH,,Normal,basic to medium programming experince; understood most of the concepts; good motivation,FALSE,
Verge,Slott,vslotty@networkadvertising.org,xx12xxx,male,BSc Information Systems,5,Native,C1/C2,I have no experience in Apple platform development other than the intro course.,,,medium challenging,average,No,Yes,No,No,No,Yes,beginner skills,extremely interested,,average skills,extremely interested,,average skills,extremely interested,,beginner skills,average interest,,no skills,average interest,,no skills,extremely interested,,,MRI,QUART,BR,BSH,SIEM,CAPG,CMU,ZIMT,IHAUS,ZMED,,Normal,"Performance-wise an avergage student, but was motived and worked a lot during my lab time",FALSE,
Cari,Semeniuk,csemeniukz@themeforest.net,xx12xxx,male,BSc Informatics,7,Native,A1/A2,I have no experience in Apple platform development other than the intro course.,,,extremely challenging,average,No,No,No,Yes,Yes,Yes,average skills,high interest,,no skills,hardly interested,,average skills,extremely interested,,average skills,high interest,,no skills,average interest,,no skills,hardly interested,,,IHAUS,CAPG,QUART,MRI,ZMED,CMU,SIEM,BSH,BR,ZIMT,,Normal,Motivated but could have worked more throughly. Didn't spend much time to go into details but to make eveything on time what he actually did pretty well,FALSE,
Gladi,Klyn,gklyn10@homestead.com,xx12xxx,female,BSc Informatics,5,C1/C2,C1/C2,I have no experience in Apple platform development other than the intro course.,,,medium challenging,average,No,No,No,No,No,Yes,beginner skills,hardly interested,,no skills,hardly interested,,beginner skills,hardly interested,,no skills,average interest,,no skills,extremely interested,,no skills,high interest,,,IHAUS,SIEM,MRI,CMU,ZMED,QUART,BSH,CAPG,ZIMT,BR,,Normal,works together with others to solve problems,FALSE,
Georgena,McEnery,gmcenery11@zimbio.com,xx12xxx,female,"MSc Informatics, Biomedical Computing, Data Engineering",4,A1/A2,C1/C2,"I was involved in the development of a native Apple application, but I had another role than developer (e.g. tester).",,"During POM me and my team were developing basic iOS application. I wasn't much help since it was my first iOS project. So I am struggling if I should pick ""no experience at all""",medium challenging,average,No,No,No,Yes,No,Yes,average skills,average interest,,average skills,average interest,,average skills,extremely interested,,no skills,high interest,,no skills,hardly interested,,average skills,average interest,,"I really like to do slides for presentations, mockups and everything that visual.I believe that clear image always help to communicate your ideas. I have solid Java skills but I hope to learn smth new",ZMED,MRI,ZIMT,SIEM,BSH,CAPG,IHAUS,CMU,QUART,BR,,Normal,"Very motivated and asks about the concepts when she did not fully understand it, could apply them afterwards",FALSE,
Kahlil,Mizzen,kmizzen12@amazon.co.uk,xx12xxx,male,"MSc Informatics, Biomedical Computing, Data Engineering",3,A1/A2,C1/C2,I have no experience in Apple platform development other than the intro course.,,,medium challenging,average,No,Yes,No,No,No,No,average skills,average interest,,advanced skills,high interest,"Nodejs backend server for IFTTT platform projects for SIEM. Worked with just nodejs as backend to connect to the platform. Cant attach due to company policy. 
",beginner skills,average interest,,no skills,hardly interested,,beginner skills,average interest,,beginner skills,hardly interested,,I am good at backend part and web frontend as well. But UI design in apps is something I find difficult. ,QUART,ZMED,CAPG,MRI,BR,BSH,CMU,IHAUS,ZIMT,SIEM,,Normal,"I didn't feel he was very motivated, was concentrated on making things done rather that making things right",FALSE,
